	GSM461182_untreat_single_featureCounts.counts	GSM461176_untreat_single_featureCounts.counts	GSM461177_untreat_paired_featureCounts.counts	GSM461178_untreat_paired_featureCounts.counts	GSM461179_treat_single_featureCounts.counts	GSM461180_treat_paired_featureCounts.counts	GSM461181_treat_paired_featureCounts.counts
FBgn0038976	537.502151425575	585.625267166211	438.66848979447	571.372853561075	524.432254862352	512.512731592278	575.141376166762
FBti0019386	0	0	0	0	0	0	0
FBgn0267191	0.83333666887686	0.500962589534826	0	0	2.09772901944941	0	0
FBgn0043884	10440.0417876893	12219.4794839335	13760.5016337655	9888.09350564339	10059.6595127696	11626.4185554505	10463.3857214407
FBgn0262883	1.66667333775372	3.00577553720895	3.11112404109553	4.5588259592639	4.19545803889881	0	4.92626446395514
FBgn0012003	0	0	1.55556202054777	0	0	0	0
FBgn0262364	15.0000600397835	22.5433165290672	17.1111822260254	7.59804326543983	27.7949095077046	4.48261864366424	9.85252892791027
FBgn0038957	44.1668434504736	60.1155107441791	48.2224226369808	59.2647374704306	38.807986859814	31.3783305056497	45.567946291585
FBgn0267801	0	0	0	0	1.57329676458705	0	0
FBgn0038797	0	0	0	0	0	0	0
FBti0062168	0	0	0	0	0	0	0
FBgn0038247	4.1666833443843	9.51828920116169	3.11112404109553	4.5588259592639	4.19545803889881	1.49420621455475	6.15783057994392
FBti0062496	0	0	0	0	0	0	0
FBgn0284419	0	2.0038503581393	0	0	0	1.49420621455475	1.23156611598878
FBgn0037213	502.502011332746	405.779697523209	485.335350410903	393.578641149783	564.813538486753	600.670898251008	703.224252229596
FBgn0286041	1.66667333775372	0.500962589534826	0	0	0	0	0
FBgn0038827	545.835518114343	462.889432730179	398.223877260228	417.89237959919	516.041338784554	443.779245722759	405.18525216031
FBgn0243512	2020.00808535751	2879.53296464618	2333.34303082165	2025.63833456626	1851.2458596641	1583.85858742803	1631.82510368514
FBgn0085320	0	0.500962589534826	0	0	0	0	0
FBgn0011273	0	0	0	0	0	0	0
FBgn0020626	1294.17184676576	1383.15770970565	1729.78496684912	1662.45186647823	1161.09301226525	1639.14421736656	1603.4990830174
FBgn0054027	0.83333666887686	0.500962589534826	0	1.51960865308797	2.09772901944941	1.49420621455475	1.23156611598878
FBgn0038108	5100.02041352638	6184.38316780742	6925.36211547866	5712.20892695766	5157.26679431637	6508.76227060047	6374.58621635795
RR48372_transposable_element	0	0	0	0	0	0	0
FBgn0266418	580.002321538294	527.012644190636	580.224633664317	595.686592010482	346.649720464014	391.482028213343	375.627665376579
FBti0061689	0	0	0	0	0	0	0
FBgn0039315	2.50001000663058	2.0038503581393	0	1.51960865308797	3.67102578403646	1.49420621455475	4.92626446395514
FBgn0267385	5986.69062921136	4794.21198184828	6474.2491295198	6376.2779083571	5157.26679431637	6856.91231859173	6950.9591586407
FBgn0037443	966.670535897157	1628.62937857772	1723.56271876692	1565.1969126806	1295.34766951001	1429.95534732889	1375.65935155947
FBgn0038747	2092.50837554979	2066.47068183116	2420.45450397232	2204.95215563064	1731.15087330062	2271.19344612321	2357.21754600253
FBgn0012002	0	0	0	0	0	0	0
FBgn0039638	663.33598842598	635.220563530159	645.558238527323	648.872894868561	651.344860539041	729.172632702716	704.455818345584
FBgn0004901	725.002901922868	821.578646837114	812.003374725934	864.657323607052	718.472189161422	872.616429299971	736.476537361293
FBgn0051054	0	0	3.11112404109553	0	0	2.98841242910949	1.23156611598878
FBtr0309664_df_nrg	0	0	0	0	0	0	0
FBgn0038376	2217.50887588132	1896.14340138931	2232.23149948604	2379.70715073575	1902.64022064061	2275.67606476688	2282.09201292722
FBgn0267194	0	0	0	0	0.524432254862352	0	0
FBgn0038380	0	2.50481294767413	0	0	3.14659352917411	0	0
FBgn0039705	1200.00480318268	1204.81502783126	1148.00477116425	1154.90257634685	1095.53898040745	1259.61583886965	1137.96709117364
FBtr0472729_df_nrg	0	0	0	0	0	0	0
